2024-11-14 17:50:48.928 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.49秒
2024-11-14 17:50:48.930 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.48秒
2024-11-14 17:50:48.932 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.49秒
2024-11-14 17:50:48.932 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 3 页
2024-11-14 17:50:48.959 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.50秒
2024-11-14 17:50:48.961 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.50秒
2024-11-14 17:50:48.961 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.50秒
2024-11-14 17:50:48.986 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.52秒
2024-11-14 17:50:48.992 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 3 页
2024-11-14 17:50:49.005 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.54秒
2024-11-14 17:50:49.127 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.21秒
2024-11-14 17:50:49.138 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.21秒
2024-11-14 17:50:49.140 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.22秒
2024-11-14 17:50:49.142 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.21秒
2024-11-14 17:50:49.143 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:49.153 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.21秒
2024-11-14 17:50:49.190 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.17秒
2024-11-14 17:50:49.202 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.20秒
2024-11-14 17:50:49.416 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.46秒
2024-11-14 17:50:49.448 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 3 页
2024-11-14 17:50:49.452 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:49.452 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:49.554 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:49.578 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.44秒
2024-11-14 17:50:49.637 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.49秒
2024-11-14 17:50:49.638 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.50秒
2024-11-14 17:50:49.652 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.46秒
2024-11-14 17:50:49.658 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.51秒
2024-11-14 17:50:49.659 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 4 页
2024-11-14 17:50:49.699 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.50秒
2024-11-14 17:50:49.917 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.46秒
2024-11-14 17:50:49.981 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.53秒
2024-11-14 17:50:49.981 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.53秒
2024-11-14 17:50:50.072 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.52秒
2024-11-14 17:50:50.079 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.50秒
2024-11-14 17:50:50.137 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.47秒
2024-11-14 17:50:50.139 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.49秒
2024-11-14 17:50:50.145 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.51秒
2024-11-14 17:50:50.152 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.45秒
2024-11-14 17:50:50.199 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.50秒
2024-11-14 17:50:50.296 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.310 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.33秒
2024-11-14 17:50:50.343 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:50.387 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.31秒
2024-11-14 17:50:50.390 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.32秒
2024-11-14 17:50:50.521 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.522 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.524 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.33秒
2024-11-14 17:50:50.524 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.37秒
2024-11-14 17:50:50.530 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.28秒
2024-11-14 17:50:50.592 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.30秒
2024-11-14 17:50:50.608 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.30秒
2024-11-14 17:50:50.675 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.33秒
2024-11-14 17:50:50.784 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.40秒
2024-11-14 17:50:50.827 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.42秒
2024-11-14 17:50:50.901 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.904 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.905 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.38秒
2024-11-14 17:50:50.952 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.42秒
2024-11-14 17:50:50.954 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:50.955 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:50.962 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:51.147 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.47秒
2024-11-14 17:50:51.341 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.53秒
2024-11-14 17:50:51.386 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.56秒
2024-11-14 17:50:51.452 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.55秒
2024-11-14 17:50:51.467 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.56秒
2024-11-14 17:50:51.480 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.58秒
2024-11-14 17:50:51.540 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.59秒
2024-11-14 17:50:51.545 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.58秒
2024-11-14 17:50:51.548 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.59秒
2024-11-14 17:50:51.549 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.59秒
2024-11-14 17:50:51.605 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.46秒
2024-11-14 17:50:51.727 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.39秒
2024-11-14 17:50:51.728 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 4 页
2024-11-14 17:50:51.765 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:51.765 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 4 页
2024-11-14 17:50:51.775 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.32秒
2024-11-14 17:50:51.778 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.31秒
2024-11-14 17:50:51.797 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.25秒
2024-11-14 17:50:51.804 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.30秒
2024-11-14 17:50:51.818 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.27秒
2024-11-14 17:50:51.821 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.28秒
2024-11-14 17:50:51.822 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.27秒
2024-11-14 17:50:51.899 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.28秒
2024-11-14 17:50:52.089 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:52.110 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.33秒
2024-11-14 17:50:52.111 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.34秒
2024-11-14 17:50:52.112 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.34秒
2024-11-14 17:50:52.172 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:52.174 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.37秒
2024-11-14 17:50:52.174 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:52.175 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 4 页
2024-11-14 17:50:52.176 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:52.177 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:52.224 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.31秒
2024-11-14 17:50:52.225 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 4 页
2024-11-14 17:50:52.368 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.28秒
2024-11-14 17:50:52.383 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.27秒
2024-11-14 17:50:52.387 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.27秒
2024-11-14 17:50:52.392 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.28秒
2024-11-14 17:50:52.617 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.44秒
2024-11-14 17:50:52.618 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.45秒
2024-11-14 17:50:52.628 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.45秒
2024-11-14 17:50:52.630 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.44秒
2024-11-14 17:50:52.644 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.46秒
2024-11-14 17:50:52.648 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.42秒
2024-11-14 17:50:52.720 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:52.735 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:52.755 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.36秒
2024-11-14 17:50:52.759 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.37秒
